SECURITY,GICS_SECTOR_NAME
SWKS UW Equity,Information Technology
DGX UN Equity,Health Care
ROK UN Equity,Industrials
KHC UW Equity,Consumer Staples
AMT UN Equity,Real Estate
REGN UW Equity,Health Care
AMZN UW Equity,Consumer Discretionary
JKHY UW Equity,Financials
RL UN Equity,Consumer Discretionary
BXP UN Equity,Real Estate
APH UN Equity,Information Technology
HWM UN Equity,Industrials
VLO UN Equity,Energy
SNPS UW Equity,Information Technology
CHRW UW Equity,Industrials
ACN UN Equity,Information Technology
TDG UN Equity,Industrials
YUM UN Equity,Consumer Discretionary
PLD UN Equity,Real Estate
FE UN Equity,Utilities
VRSN UW Equity,Information Technology
PWR UN Equity,Industrials
HSIC UW Equity,Health Care
AEE UN Equity,Utilities
ANSS UW Equity,Information Technology
FDS UN Equity,Financials
NVDA UW Equity,Information Technology
CTSH UW Equity,Information Technology
ISRG UW Equity,Health Care
TTWO UW Equity,Communication Services
RSG UN Equity,Industrials
EBAY UW Equity,Consumer Discretionary
GS UN Equity,Financials
SBAC UW Equity,Real Estate
SRE UN Equity,Utilities
MCO UN Equity,Financials
ON UW Equity,Information Technology
BKNG UW Equity,Consumer Discretionary
FFIV UW Equity,Information Technology
AKAM UW Equity,Information Technology
CRL UN Equity,Health Care
MKTX UW Equity,Financials
DVN UN Equity,Energy
TECH UW Equity,Health Care
GOOGL UW Equity,Communication Services
ALLE UN Equity,Industrials
NFLX UW Equity,Communication Services
A UN Equity,Health Care
WBD UW Equity,Communication Services
TRMB UW Equity,Information Technology
ELV UN Equity,Health Care
CME UW Equity,Financials
JNPR UN Equity,Information Technology
DTE UN Equity,Utilities
NDAQ UW Equity,Financials
PM UN Equity,Consumer Staples
IR UN Equity,Industrials
CRM UN Equity,Information Technology
ROP UW Equity,Information Technology
HII UN Equity,Industrials
MET UN Equity,Financials
TPR UN Equity,Consumer Discretionary
CSX UW Equity,Industrials
EW UN Equity,Health Care
AMP UN Equity,Financials
ZBRA UW Equity,Information Technology
ZBH UN Equity,Health Care
CPT UN Equity,Real Estate
CBRE UN Equity,Real Estate
MA UN Equity,Financials
KMX UN Equity,Consumer Discretionary
ICE UN Equity,Financials
FIS UN Equity,Financials
SW UN Equity,Materials
CMG UN Equity,Consumer Discretionary
WYNN UW Equity,Consumer Discretionary
LYV UN Equity,Communication Services
AIZ UN Equity,Financials
NRG UN Equity,Utilities
MNST UW Equity,Consumer Staples
RF UN Equity,Financials
BKR UW Equity,Energy
MOS UN Equity,Materials
EXPE UW Equity,Consumer Discretionary
KMB UW Equity,Consumer Staples
CF UN Equity,Materials
APA UW Equity,Energy
LDOS UN Equity,Industrials
GOOG UW Equity,Communication Services
TKO UN Equity,Communication Services
FSLR UW Equity,Information Technology
V UN Equity,Financials
MAA UN Equity,Real Estate
XYL UN Equity,Industrials
MPC UN Equity,Energy
TSCO UW Equity,Consumer Discretionary
AMD UW Equity,Information Technology
RMD UN Equity,Health Care
MTD UN Equity,Health Care
VICI UN Equity,Real Estate
CPRT UW Equity,Industrials
J UN Equity,Industrials
ALB UN Equity,Materials
FTNT UW Equity,Information Technology
MRNA UW Equity,Health Care
ESS UN Equity,Real Estate
CSGP UW Equity,Real Estate
O UN Equity,Real Estate
WAB UN Equity,Industrials
PLTR UW Equity,Information Technology
POOL UW Equity,Consumer Discretionary
WDC UW Equity,Information Technology
PEP UW Equity,Consumer Staples
TEL UN Equity,Information Technology
FANG UW Equity,Energy
PANW UW Equity,Information Technology
NOW UN Equity,Information Technology
CHD UN Equity,Consumer Staples
FRT UN Equity,Real Estate
MGM UN Equity,Consumer Discretionary
AEP UW Equity,Utilities
INVH UN Equity,Real Estate
PTC UW Equity,Information Technology
JBHT UW Equity,Industrials
LRCX UW Equity,Information Technology
MHK UN Equity,Consumer Discretionary
GEHC UW Equity,Health Care
PNR UN Equity,Industrials
VRTX UW Equity,Health Care
AMCR UN Equity,Materials
META UW Equity,Communication Services
TMUS UW Equity,Communication Services
URI UN Equity,Industrials
ARE UN Equity,Real Estate
HON UW Equity,Industrials
DAL UN Equity,Industrials
UAL UW Equity,Industrials
STX UW Equity,Information Technology
NWS UW Equity,Communication Services
CNC UN Equity,Health Care
APO UN Equity,Financials
MLM UN Equity,Materials
TER UW Equity,Information Technology
PYPL UW Equity,Financials
TSLA UW Equity,Consumer Discretionary
BLK UN Equity,Financials
KKR UN Equity,Financials
ACGL UW Equity,Financials
DOW UN Equity,Materials
EG UN Equity,Financials
TDY UN Equity,Information Technology
DPZ UW Equity,Consumer Discretionary
GEV UN Equity,Industrials
NWSA UW Equity,Communication Services
EXC UW Equity,Utilities
GPN UN Equity,Financials
CCI UN Equity,Real Estate
ALGN UW Equity,Health Care
KVUE UN Equity,Consumer Staples
TRGP UN Equity,Energy
BG UN Equity,Consumer Staples
LKQ UW Equity,Consumer Discretionary
DECK UN Equity,Consumer Discretionary
WDAY UW Equity,Information Technology
ZTS UN Equity,Health Care
COIN UW Equity,Financials
EQIX UW Equity,Real Estate
DLR UN Equity,Real Estate
MOH UN Equity,Health Care
LVS UN Equity,Consumer Discretionary
